state,ags,place,population
SN,146270030030,Ebersbach (Landkreis Meißen),4382
TH,160770032032,"Meuselwitz, Stadt",10121
BY,091720128128,Piding,5299
RP,073315001022,Esselborn,391
SH,010595920068,Rabenkirchen-Faulück,657
NI,032410006006,"Gehrden, Stadt",15345
HE,064140000000,"Wiesbaden, Landeshauptstadt",284260
NW,053820004004,Alfter,23692
BW,081195006085,"Winnenden, Stadt",29297
NI,031515402031,Tiddische,1234
BY,096780174174,Schonungen,7597
BY,091895166161,Vachendorf,1766
SN,145245128160,"Lichtenstein/Sa., Stadt",11148
BY,093715304131,Illschwang,2038
RP,071405008096,Mörschbach,343
RP,072325008306,Seinsfeld,158
BY,091750133133,Pliening,5780
SH,010585895159,Tappendorf,334
MV,130765655168,Ruhner Berge,1744
RP,071335001030,Feilbingert,1587
BY,091890155155,"Traunstein, GKSt",20248
NW,057620040040,"Willebadessen, Stadt",8180
RP,073310003003,"Alzey, Stadt",19035
SH,010605053008,Bebensee,675
RP,072325001294,Preischeid,168
SH,010605034058,Nahe,2443
MV,130725252089,Rühn,616
RP,071355005077,Schauren (Landkreis Cochem-Zell),419
BW,081255008065,"Neckarsulm, Stadt",26221
RP,071335010051,Jeckenbach,213
BY,091890143143,Seeon-Seebruck,4406
BY,094750112112,"Bad Steben, M",3304
BB,120670544544,Woltersdorf (Landkreis Oder-Spree),8433
SH,010585853071,Hamweddel,450
RP,071435006303,Waldmühlen,316
BY,092735215121,"Essing, M",1118
RP,071345005066,Oberreidenbach,612
RP,072335001079,Wallenborn,409
BY,091760148148,"Mörnsheim, M",1569
NI,033595409009,Burweg,1015
TH,160655055086,"Artern, Stadt",6490
SH,010515169038,Groven,90
SH,010515166034,Friedrichskoog,2403
NW,053820016016,Eitorf,18828
RP,073395008021,Gensingen,3908
HE,066340005005,"Fritzlar, Dom- und Kaiserstadt",14254
BW,081160076076,Aichwald,7252
BY,095715501152,Gebsattel,1711
RP,072325006280,Nimsreuland,92
BY,094720119119,Bindlach,7260
BW,083370116116,"Wehr, Stadt",13036
BY,097620000000,Kaufbeuren,45186
BY,091870129129,Bad Feilnbach,8154
ST,150905051180,Goldbeck,1394
NI,034625401015,Stedesdorf,1619
BB,120540000000,"Potsdam, Stadt",182806
MV,130745455014,Cramonshagen,515
BY,092760129129,Langdorf,1887
BW,082365001065,Wiernsheim,6721
RP,071325007045,Harbach,542
BY,095710214214,"Wassertrüdingen, St",6156
NW,053700020020,"Hückelhoven, Stadt",40659
BW,083375001127,Wutach,1196
TH,160615008048,Hohengandern,574
RP,072325005096,Obergeckler,128
TH,160695002009,Ehrenberg,179
NW,057740024024,"Hövelhof, Sennegemeinde",16497
RP,071345005079,Schwerbach,53
ST,150835053515,Völpke,1159
RP,072325008030,Ehlenz,440
BW,084365003069,Schlier,3898
BY,096765626116,"Bürgstadt, M",4219
SN,147300210210,Naundorf,2190
NW,055660004004,Altenberge,10220
BY,096735635163,Schönau a.d.Brend,1223
RP,073405002049,Spirkelbach,644
BY,091870163163,Prutting,2860
BW,084365001005,Altshausen,4013
BY,091840134134,Oberhaching,13462
SN,146250560560,Sohland a. d. Spree,6450
TH,160745007097,Tautendorf,144
SH,010545488015,Borgsum,305
MV,130735359071,Putgarten,180
MV,130765659058,Groß Laasch,933
SN,145240310310,"Wildenfels, Stadt",3525
TH,160735012082,Schwarzburg,498
SH,010535323050,Hamwarde,883
SH,010605043034,Hartenholm,1811
BW,082260096096,"Weinheim, Stadt",45823
MV,130755554009,Bentzin,829
HE,065340022022,Wohratal,2123
SH,010615189112,Willenscharen,164
HE,064400001001,Altenstadt (Landkreis Wetteraukreis),12565
TH,160745015019,Frauenprießnitz,819
NI,034625401002,Dunum,1028
RP,072325005106,Plascheid,94
BW,082165003002,Au am Rhein,3377
MV,130715159020,Buchholz,125
HE,066330026026,"Vellmar, Stadt",17481
RP,071325010070,Michelbach (Westerwald),544
SH,010615134118,Kollmar,1591
TH,160745053105,Waldeck,225
RP,071335010064,Meddersheim,1331
BY,096710139139,Laufach,5127
BY,096795654192,Tauberrettersheim,839
NI,033605405023,Suderburg,4301
BY,097805742116,Bolsterlang,1001
RP,073355001011,Gerhardsbrunn,161
SH,010585864046,Ellerdorf,482
NI,033515403016,Lachendorf,6125
BY,096715603141,Mespelbrunn,2251
HE,064340008008,"Oberursel (Taunus), Stadt",46218
BW,084365001053,Königseggwald,688
SH,010585895074,Heinkenborstel,139
SH,010595915032,Geltorf,351
BY,091715106135,Unterneukirchen,3360
SH,010530116116,"Schwarzenbek, Stadt",16889
RP,071385009053,Oberhonnefeld-Gierend,1054
NI,032575403011,Haste,2697
NI,033520061061,Wurster Nordseeküste,16605
BY,093755338171,Mötzing,1410
RP,071375009215,Macken,380
RP,071435003031,Hillscheid,2459
TH,160735054006,Bechstedt,150
BW,082265002086,Spechbach,1689
BY,094745422145,Kunreuth,1397
SN,146280160160,"Heidenau, Stadt",16753
RP,071325010106,Sörth,266
SN,146285204330,Reinhardtsdorf-Schöna,1302
RP,071415009004,Auel,177
BY,093720113113,Arrach,2419
BY,096755617146,Mainstockheim,1889
NI,032510044044,Wagenfeld,7073
MV,130755562135,"Ückeritz, Seebad",1000
SH,010585888026,Bovenau,1085
NI,033575404040,Sandbostel,791
NI,033515403003,Beedenbostel,982
BY,097725709179,Mittelneufnach,1078
ST,150890055055,"Calbe (Saale), Stadt",8372
MV,130745452040,Kneese,343
BY,092750127127,"Hofkirchen, M",3626
BY,093740164164,"Waidhaus, M",2146
TH,160625053008,Görsbach,1018
SH,010595912169,Süderhackstedt,341
SH,010615179063,Landscheide,247
SN,145220480480,Reinsberg,2817
SN,146275225190,Nünchritz,5413
RP,071355005064,Moritzheim,135
RP,073335006503,Winnweiler,4766
SN,146265237560,Trebendorf,769
RP,071375008209,Kaltenengers,2173
TH,160745053082,Scheiditz,61
NI,031515403028,Sprakensehl,1160
SH,010515175054,Immenstedt (Kreis Dithmarschen),106
BY,094755430127,Gattendorf,1015
SH,010545459039,Gröde,9
RP,073375002049,Klingenmünster,2289
SN,147290410410,"Wurzen, Stadt",15902
NI,033535405034,Toppenstedt,2214
HE,066320011011,Kirchheim (Landkreis Hersfeld-Rotenburg),3602
BY,092760117117,"Bodenmais, M",3651
BY,094795442159,"Thierstein, M",1107
SH,010535313113,Schretstaken,512
RP,071325010083,Oberlahr,782
BW,081160019019,"Esslingen am Neckar, Stadt",94442
BY,096775622122,"Burgsinn, M",2341
RP,073375004039,Herxheimweyher,548
NI,032565409013,Hilgermissen,2075
BY,095755524115,"Burgbernheim, St",3405
TH,160675007082,Zimmernsupra,355
RP,073335004010,Bolanden,2354
MV,130735354100,Wieck a. Darß,707
NW,055540044044,Reken,14867
SH,010625262071,Stapelfeld,1792
RP,073345006025,Rülzheim,8401
BY,093765344176,Weiding (Landkreis Schwandorf),472
RP,073365008069,Nußbach,548
BY,096750158158,"Prichsenstadt, St",2975
NW,059620004004,"Altena, Stadt",16774
MV,130715162079,Knorrendorf,527
SH,010565616042,Raa-Besenbek,555
MV,130755563154,Züssow,1278
BW,081150029029,Magstadt,9580
BW,081255005030,Flein,7276
RP,071315001033,Hümmel,500
RP,071375002070,Mertloch,1368
BY,095715509227,Wittelshofen,1260
ST,150830390390,Niedere Börde,6910
BY,092710140140,Offenberg,3347
SN,147305306280,Schönwölkau,2607
BW,083155005051,Heuweiler,1132
BB,120675705338,Neißemünde,1623
BW,083265004037,Mönchweiler,2803
MV,130755556119,Rothenklempenow,597
RP,072335004205,Bodenbach,198
RP,072335001040,Kradenbach,152
BY,091870150150,"Kolbermoor, St",18380
TH,160745007071,Rattelsdorf,74
TH,160705002034,Martinroda (Landkreis Ilm-Kreis),1171
RP,071435002252,Kundert,253
MV,130730070070,"Putbus, Stadt",4469
SH,010575747054,Nettelsee,427
NW,057580028028,Rödinghausen,9962
SH,010575739022,Grebin,1004
HE,066310021021,Poppenhausen (Wasserkuppe),2696
BW,084365001040,Guggenhausen,179
BW,081275004047,"Langenburg, Stadt",1845
BY,096795644135,"Gelchsheim, M",840
BY,091760123123,"Eichstätt, GKSt",13595
RP,071385009066,Rüscheid,826
NI,033610005005,Kirchlinteln,10096
BY,094715407122,"Burgwindheim, M",1309
NI,032410019019,Wedemark,29409
NI,033535406018,Heidenau,2283
SH,010545494075,Langenhorn,3330
RP,073395006057,Stadecken-Elsheim,4754
HE,065320009009,Eschenburg,9902
BY,091780116116,"Au i.d.Hallertau, M",6330
TH,160660074074,"Brotterode-Trusetal, Stadt",5805
BW,082375003040,"Horb am Neckar, Stadt",25424
RP,071335009047,Horbach,46
BY,092770153153,"Wurmannsquick, M",3402
BY,094745422158,Pinzberg,1924
SN,145220120120,Erlau,3178
RP,071405008070,Klosterkumbd,272
BW,081165001033,"Kirchheim unter Teck, Stadt",41676
SH,010585895061,Gokels,596
TH,160665014017,Einhausen (Landkreis Schmalkalden-Meiningen),416
MV,130755562148,"Zempin, Seebad",930
RP,071325006013,Breitscheidt,1023
SH,010545417036,"Garding, Stadt",2771
BY,096735634131,Herbstadt,612
RP,072315001012,Brauneberg,1146
NI,033595405034,Nottensdorf,1597
SH,010535323028,Escheburg,3496
RP,071415010003,Attenhausen,426
RP,072355008119,Schillingen,1184
RP,071405004024,Büchenbeuren,1890
SN,145245128280,St. Egidien,3177
SH,010585888146,Schülldorf,753
RP,071315002017,Dernau,1333
RP,073355010014,Hirschhorn/ Pfalz,740
NW,051620024024,"Neuss, Stadt",153079
RP,073375001083,Wernersberg,1099
HE,064320002002,"Babenhausen, Stadt",16957
SN,146285230150,Hartmannsdorf-Reichenau,1044
SN,147290190190,Großpösna,5551
BY,091710113113,Burgkirchen a.d.Alz,10679
BY,094760184184,"Wallenfels, St",2488
HE,065310006006,"Grünberg, Stadt",13713
SH,010595996051,Klein Rheide,323
SH,010550028028,Malente,10763
RP,072355004090,Morscheid,886
ST,150890030030,"Bernburg (Saale), Stadt",31553
MV,130755552037,Grambin,407
SH,010615104109,Westermoor,390
BW,082260038038,"Ladenburg, Stadt",12371
MV,130735360022,Eixen,701
BW,081350020020,"Herbrechtingen, Stadt",13192
BY,097710141141,"Inchenhofen, M",2637
BY,093775349143,Neusorg,1908
BW,083375006108,Todtmoos,1918
MV,130725252050,Jürgenshagen,1130
RP,071325010119,Ziegenhain,181
BW,082255007114,"Ravenstein, Stadt",2992
NI,032555403014,Fürstenberg,1017
BY,094745420168,Unterleinleiter,1227
BY,097785768218,Wolfertschwenden,2029
BY,097765737113,Grünenbach,1530
RP,071355002042,Illerich,811
TH,160745015113,Zimmern,185
BY,092740124124,Eching (Landkreis Landshut),4122
NW,059780008008,Bönen,18097
RP,071435002265,Mörsbach,414
NI,034590034034,Glandorf,6508
RP,071355001049,Klotten,1227
RP,072355008058,Kell am See,1930
TH,160745007047,Kleinebersdorf,182
NI,033510025025,Eschede,5485
NI,034570021021,"Weener, Stadt",15435
HE,066360005005,Herleshausen,2709
RP,071405004048,Hecken,107
MV,130755553073,Krusenfelde,158
SH,010535373045,Grove,263
MV,130745454089,Zierow,782
BY,097775753128,Friesenried,1516
NI,034570018018,Rhauderfehn,18032
NW,053620012012,"Brühl, Stadt",44397
NW,059660004004,"Attendorn, Hansestadt",23527
RP,072355001045,"Hermeskeil, Stadt",6461
BY,097800143143,Waltenhofen,9605
RP,072325001310,Sevenig (Our),73
BY,091895170137,Pittenhart,1842
RP,071325008011,Mittelhof,991
NW,053340012012,"Eschweiler, Stadt",57093
HE,066360014014,Wehretal,4991
RP,073345001014,Knittelsheim,1047
BY,096735633151,Oberstreu,1453
BY,093720171171,"Waldmünchen, St",6509
NI,034525403009,Hagermarsch,395
RP,072325008007,Badem,1204
TH,160675012026,Gierstädt,834
SH,010545453004,Ahrenviölfeld,224
RP,073375002072,Schweighofen,582
MV,130765665121,Schossin,250
SH,010575747010,Boksee,481
BY,093720177177,Zandt,2033
BB,120705001416,Weisen,992
NI,034565404024,Wielen,503
SH,010595987037,Havetoft,954
BW,081160047047,Neuhausen auf den Fildern,12067
SN,147300160160,Laußig,3586
NW,053340036036,"Würselen, Stadt",39792
RP,073385001022,Rödersheim-Gronau,2887
BY,093720168168,Waffenbrunn,2007
RP,071435006256,Liebenscheid,827
BY,097735713136,"Gundelfingen a.d.Donau, St",7687
BW,083275006057,Emmingen-Liptingen,4714
ST,150855051125,Groß Quenstedt,855
NI,034545404040,Oberlangen,987
RP,071385001003,Asbach (Landkreis Neuwied),7677
TH,160765051012,Caaschwitz,627
NI,033510010010,Faßberg,6163
HE,065350006006,"Grebenau, Stadt",2271
SH,010545489018,Bramstedtlund,212
SH,010585895044,Ehndorf,599
SH,010585824058,Gettorf,7565
BY,091905176136,Obersöchering,1582
RP,073345002021,Neuburg am Rhein,2614
SN,145235402460,Werda,1482
HE,066310020020,Petersberg (Landkreis Fulda),15879
RP,073325007036,Mertesheim,385
BY,093720153153,"Roding, St",12370
RP,071385007062,Rheinbreitbach,4432
BW,084255001004,Altheim (Landkreis Alb-Donau-Kreis),593
RP,071405009043,Gondershausen,1280
BB,120655502117,Großwoltersdorf,757
RP,071375003060,Langenfeld (Landkreis Mayen-Koblenz),664
BY,093720144144,"Neukirchen b.Hl.Blut, M",3626
NW,053780032032,"Wermelskirchen, Stadt",34532
HE,064400009009,"Gedern, Stadt",6730
BW,084265004065,Kirchberg an der Iller,2192
RP,071435005009,Deesen,753
BB,120645403053,Beiersdorf-Freudenberg,635
SH,010535308061,Kastorf,1165
BY,091860139139,Münchsmünster,3088
BW,084365004004,Aitrach,2809
BW,083255005053,"Schramberg, Stadt",20446
RP,071405008023,Budenbach,202
RP,073325001043,Ruppertsberg,1430
NI,033575403004,Basdahl,1451
BY,096780136136,Grafenrheinfeld,3443
SH,010585895164,Todenbüttel,1058
RP,073325007023,Großkarlbach,1161
TH,160745011004,Bibra,268
TH,160745015036,Hainichen,195
NW,057700008008,"Espelkamp, Stadt",25647
TH,160645001005,Ballhausen,811
NW,051540012012,"Geldern, Stadt",34603
SN,145235122060,Bösenbrunn,1090
NW,059660028028,Wenden,19266
BY,097800125125,Lauben (Landkreis Oberallgäu),3543
TH,160715053061,"Neumark, Stadt",455
MV,130715154171,Zislow,204
BW,081195001018,Burgstetten,3749
NI,032565408024,Raddestorf,1807
BW,084355007059,"Überlingen, Stadt",22572
TH,160615006037,Gernrode,1465
TH,160695002021,Henfstädt,328
SH,010575747023,Großbarkau,254
NW,055580032032,Nottuln,20080
BW,081155003037,Nufringen,5753
BY,097775749158,Pforzen,2384
TH,160615013041,Großbartloff,913
BY,094715408120,"Burgebrach, M",7019
NI,034565404011,Itterbeck,1721
RP,071385009036,Kurtscheid,963
BB,120690304304,Kleinmachnow,19602
MV,130725255084,Reimershagen,381
NI,033515402005,Bröckel,1951
BW,081165002018,Erkenbrechtsweiler,2035
TH,160755005087,Quaschwitz,67
MV,130715156012,Blumenholz,793
SH,010585895151,Seefeld,329
MV,130765664101,Mustin,348
SH,010585824165,Tüttendorf,1311
NI,034565401012,Laar,2090
NI,033605407026,Weste,928
RP,072325007107,Preist,701
SH,010575755056,Passade,386
NI,031590003003,"Bad Lauterberg im Harz, Stadt",10451
TH,160690024024,"Hildburghausen, Stadt",11684
SH,010605005095,Weddelbrook,1065
BB,120735306645,Zichow,525
BY,094710111111,Altendorf (Landkreis Bamberg),2145
ST,150875052205,Helbra,3750
RP,073345005033,Westheim (Pfalz),1744
BW,084365001067,Riedhausen,772
BW,083365005006,Bad Bellingen,4868
SH,010030000000,"Lübeck, Hansestadt",215958
SH,010545489125,Stadum,915
HE,064390013013,"Rüdesheim am Rhein, Stadt",9699
BY,097775751141,"Kaltental, M",1719
ST,150840130130,Elsteraue,7917
ST,150905052631,Wust-Fischbeck,1209
BY,096780178178,Sennfeld,4294
BY,097795721117,Auhausen,982
MV,130765665147,Warsow,675
SH,010550018018,Grube,1028
RP,071345002002,Achtelsbach,395
MV,130755560055,Jatznick,2186
TH,160635059086,Wiesenthal,739
RP,073325002050,Weisenheim am Sand,4220
MV,130745453069,Roggenstorf,474
RP,071325010033,Fluterschen,663
RP,073345001001,Bellheim,8641
RP,071415007070,Kehlbach,182
BB,120675708438,Schlaubetal,1782
BY,091860151151,Scheyern,4654
MV,130715152037,Galenbeck,1090
MV,130765655051,Granzin,386
BW,084170054054,"Rosenfeld, Stadt",6407
RP,071355005081,Tellig,295
MV,130765668133,Sukow,1472
SN,146250525525,"Schirgiswalde-Kirschau, Stadt",6102
MV,130755560042,Groß Luckow,184
RP,071345002015,Brücken,1272
RP,073325007010,Dirmstein,3040
NI,031590036036,Walkenried,4186
NI,034610006006,Lemwerder,6953
BY,094730170170,Untersiemau,4013
NW,051620004004,"Dormagen, Stadt",64259
TH,160720019019,"Steinach, Stadt",3647
RP,071435009224,Gemünden (Landkreis Westerwaldkreis),1024
BB,120675707288,Langewahl,838
TH,160695002047,St.Bernhard,249
BY,096745612153,Riedbach,1709
BW,081365006007,Bartholomä,2090
ST,150820005005,"Aken (Elbe), Stadt",7339
TH,160640072072,Menteroda,1904
HE,064400003003,"Bad Vilbel, Stadt",34955
BW,081165009071,"Wendlingen am Neckar, Stadt",15800
BY,091795131137,Mittelstetten,1655
BY,093720135135,Hohenwarth,1921
RP,072315009057,Hontheim,788
RP,072325008101,Orsfeld,195
BY,096785642164,"Oberschwarzach, M",1423
SH,010595919126,Hürup,1258
NI,032570028028,"Obernkirchen, Stadt",8953
NI,032515401020,Hüde,1225
MV,130755554134,Tutow,996
TH,160645055037,Körner,1604
BW,082375005072,Wörnersberg,213
NW,059700016016,"Freudenberg, Stadt (Kreis Siegen-Wittgenstein)",17475
RP,071315004209,Wassenach,1245
NW,053620036036,"Pulheim, Stadt",55199
BY,095725512147,Oberreichenbach (Landkreis Erlangen-Höchstadt),1330
BY,097795725149,Genderkingen,1170
MV,130755563156,Karlsburg,1778
RP,071335011054,Langenlonsheim,4186
SN,145215101340,Königswalde,2135
SH,010545492141,Uelvesbüll,303
RP,072355008152,Zerf,1548
RP,073375007014,Bornheim (Landkreis Südliche Weinstraße),1567
RP,072325008091,Niederstedem,227
SH,010625270021,Grönwohld,1472
BY,097785762214,Westerheim (Landkreis Unterallgäu),2243
NW,053580024024,"Jülich, Stadt",34208
NI,033575404011,Deinstedt,645
BB,120600198198,Schorfheide,10649
SH,010595996020,Dörpstedt,591
SH,010615189086,Poyenberg,374
RP,071375002053,Kollig,576
BW,083175007059,Kippenheim,5485
RP,072335001008,Bleckhausen,290
RP,071325010046,Hasselbach,341
BY,094760183183,"Marktrodach, M",3655
NI,032575401012,Heeßen,1382
NI,033525411046,"Otterndorf, Stadt",7326
RP,072325006207,Brandscheid (Landkreis Eifelkreis Bitburg-Prüm),315
MV,130715157104,Neddemin,359
NI,032410008008,Isernhagen,24293
SN,146250420420,Oßling,2222
HE,066340006006,Gilserberg,2907
NI,031515407038,Wesendorf,5459
BY,091785129132,Hörgertshausen,2011
BY,097760131131,Hergatz,2479
BY,094715401133,Gerach (Landkreis Bamberg),1000
TH,160615009049,Hohes Kreuz,1266
NW,055660084084,"Steinfurt, Stadt",33965
RP,071375004093,Rieden (Landkreis Mayen-Koblenz),1228
SH,010615189038,Hingstheide,80
NI,034585401001,Beckeln,778
BW,083375002030,Dettighofen,1076
BY,092790122122,"Landau a.d.Isar, St",14367
BY,095755518147,"Markt Taschendorf, M",1012
RP,072355007073,Langsur,1744
BW,083155013041,Glottertal,3253
BW,082355002067,Simmozheim,2809
TH,160645053032,Kammerforst (Landkreis Unstrut-Hainich-Kreis),795
RP,072325005128,Uppershausen,64
BY,091730120120,Egling,5365
BY,091730126126,"Geretsried, St",25705
BY,095755522117,"Dachsbach, M",1783
SH,010585847036,Christiansholm,230
BW,083275001036,"Mühlheim an der Donau, Stadt",3671
NI,033555402039,Vögelsen,2381
BY,092790137137,"Wallersdorf, M",7214
NW,053820020020,"Hennef (Sieg), Stadt",47923
BY,091830144144,Schwindegg,3528
NI,033575405044,Sittensen,5877
BB,120710408408,"Welzow, Stadt",3246
BB,120690596596,Seddiner See,4522
BY,091775125138,Steinkirchen (Landkreis Erding),1259
NI,033580021021,"Soltau, Stadt",22122
BY,091730111111,Bad Heilbrunn,3889
BW,082260082082,"Schriesheim, Stadt",14994
BY,097770130130,Germaringen,3833
RP,071315003081,Waldorf,899
BY,091775120135,Pastetten,2896
RP,073335004007,Bischheim,795
HE,064310021021,Wald-Michelbach,10505
RP,071345001008,Berschweiler bei Baumholder,538
BY,097725707156,Heretsried,979
NI,031595402028,Rollshausen,829
TH,160775005009,Göllnitz,323
RP,073365010025,Föckelberg,373
BB,120715107176,Heinersbrück,591
SN,146250230230,Hochkirch,2222
SN,146250480480,"Radeberg, Stadt",18724
NW,053820044044,"Niederkassel, Stadt",38069
BB,120645414365,Neutrebbin,1382
SH,010545494146,Vollstedt,176
ST,150875052075,Bornstedt,792
BB,120605003024,"Biesenthal, Stadt",6156
ST,150890305305,"Schönebeck (Elbe), Stadt",30429
NI,031595401008,Bühren,525
TH,160665014065,Schwarza,1146
HE,064320011011,Groß-Zimmern,14497
BW,082265007080,"Schönau, Stadt",4412
SH,010515166077,Neufelderkoog,116
NI,032555409012,Eimen,811
BW,083260031031,Königsfeld im Schwarzwald,5818
NI,034600010010,Visbek,9762
BW,081265005066,"Öhringen, Stadt",25320
BY,096725606149,"Schondra, M",1605
MV,130765655077,Kritzow,468
SH,010585803028,Bredenbek,1547
ST,150885051030,Barnstädt,947
NI,034545407047,Sögel,7612
MV,130745451082,Ventschow,735
TH,160715008095,Wiegendorf,333
BB,120625202417,Rückersdorf (Landkreis Elbe-Elster),1312
BW,082150047047,Marxzell,5047
BW,082255007075,"Osterburken, Stadt",6525
HE,064390004004,"Geisenheim, Hochschulstadt",11262
MV,130725251017,Börgerende-Rethwisch,1643
BW,082255006113,Zwingenberg,658
BW,084150019019,Eningen unter Achalm,11420
MV,130755561133,"Trassenheide, Ostseebad",765
RP,072315008085,Minderlittgen,736
MV,130765654093,Malk Göhren,403
BY,095710180180,Neuendettelsau,7781
BY,091775123133,Oberding,6092
NI,034575402015,Neukamperfehn,1795
RP,072335004220,Kirsbach,73
SH,010570008008,Bönebüttel,2065
SH,010620004004,"Bad Oldesloe, Stadt",24780
NI,031580037037,"Wolfenbüttel, Stadt",51750
SH,010615168087,Puls,535
BW,083375007065,Lauchringen,8045
SH,010615138040,Hohenaspe,1875
BY,091890140140,Ruhpolding,6101
TH,160680058058,"Weißensee, Stadt",3516
RP,071385003069,Stebach,371
MV,130765654103,Neu Kaliß,1928
MV,130755556067,Krackow,621
BY,097720184184,"Neusäß, St",22178
BB,120645403125,Falkenberg (Landkreis Märkisch-Oderland),2230
BB,120695918680,Wollin,831
ST,150830411411,"Oebisfelde-Weferlingen, Stadt",13070
SH,010535391121,Sirksfelde,333
BY,092725211116,Eppenschlag,949
SH,010515169117,Tielenhemme,156
RP,071335010082,Rehbach,47
RP,071385005048,Niederhofen,441
RP,073335007068,Schönborn (Landkreis Donnersbergkreis),112
BY,091775121142,Walpertskirchen,2163
NI,033575407010,Bülstedt,734
SL,100410514514,Kleinblittersdorf,10888
NI,033575402046,Stemmen,795
HE,064400018018,Ober-Mörlen,5699
BY,091840149149,"Unterschleißheim, St",28114
RP,072315008108,Plein,618
RP,071385009071,Straßenhaus,1935
BW,083175005041,"Hausach, Stadt",5807
SN,145245128010,Bernsdorf,2140
BY,096735635156,Rödelmaier,953
BY,091770139139,Taufkirchen (Vils),10400
NW,057620016016,"Brakel, Stadt",16196
NW,059580036036,"Olsberg, Stadt",14740
HE,064360006006,"Hochheim am Main, Stadt",18148
BY,094710159159,Memmelsdorf,8848
TH,160765006033,Hundhaupten,328
BW,082355005084,"Bad Teinach-Zavelstein, Stadt",3103
RP,071335001069,Neu-Bamberg,960
BY,093755335116,Bach a.d.Donau,1834
RP,073315006064,Udenheim,1356
BW,081365008070,Täferrot,1035
SN,145210200200,Gelenau/Erzgeb.,4144
NI,034595404026,Merzen,3743
HE,066330007007,Espenau,4963
BY,091850158158,"Schrobenhausen, St",17207
SH,010585847010,Bargstall,153
RP,071415011125,Schiesheim,260
ST,150855051160,Hedersleben,1298
HE,064330008008,"Mörfelden-Walldorf, Stadt",31804
RP,072325005102,Utscheid,443
BY,097770169169,Schwangau,3129
NI,032575406002,Apelern,2366
BY,092785250112,Aholfing,1862
RP,071335009063,Meckenbach,372
BW,083365007081,"Schopfheim, Stadt",20083
SN,146265203100,Gablenz,1565
RP,073395001040,Niederheimbach,805
BY,092710127127,Iggensbach,2137
BY,095715501181,Neusitz,2042
RP,071435010070,Siershahn,2893
BW,083165006056,"Waldkirch, Stadt",21243
MV,130755557120,Rubenow,791
RP,071405009102,Ney,366
SH,010605005021,Föhrden-Barl,307
BY,097795723228,"Wemding, St",5703
SH,010595912131,Jerrishoe,1043
BW,081150051051,Weil im Schönbuch,9720
BW,084375003123,Sauldorf,2581
RP,071415003059,Holzappel,1068
RP,072325006290,Orlenbach,252
BY,094790169169,"Wunsiedel, St",8930
RP,071375002112,Welling,909
RP,071385009072,Thalhausen,805
BY,093765341144,"Nabburg, St",6132
MV,130715151065,Hohenmocker,454
NI,031515401002,Barwedel,1013
RP,071415007035,Ehr,76
MV,130735355097,Weitenhagen (Landkreis Vorpommern-Rügen),228
HE,066320010010,Hohenroda,2967
RP,073315001012,Bornheim (Landkreis Alzey-Worms),889
NI,033575402033,Lauenbrück,2478
HE,065340016016,"Neustadt (Hessen), Stadt",8953
BY,092720120120,"Grafenau, St",8016
BY,093735321159,Sengenthal,3937
BY,093730143143,"Lupburg, M",2509
BW,083265004065,Unterkirnach,2511
SH,010535308120,Sierksrade,441
BY,096735637147,Nordheim v.d.Rhön,1075
BW,083360087087,"Todtnau, Stadt",4928
RP,073315006063,Sulzheim (Landkreis Alzey-Worms),1237
BY,094790136136,"Marktredwitz, GKSt",16875
BY,093725308165,Treffelstein,967
RP,073385006013,Heuchelheim bei Frankenthal,1267
NW,059540024024,"Schwelm, Stadt",27986
HE,066350006006,Burgwald,4983
BB,120625031341,"Mühlberg/Elbe, Stadt",3411
BB,120685804437,Vielitzsee,506
RP,072315001086,Minheim,449
RP,071335006015,Braunweiler,654
MV,130750049049,"Heringsdorf, Ostseebad",5991
NI,032575404023,Meerbeck,1822
SH,010595987098,Nübel,1283
RP,073355010042,Schneckenhausen,544
BW,081165008029,Holzmaden,2276
BY,093755338115,Aufhausen,1874
BY,094790145145,Röslau,2058
BW,082375002073,Seewald,2134
BY,093730134134,"Hohenfels, M",2263
RP,071405003504,Zilshausen,288
BW,081365005049,Obergröningen,435
SN,145215103230,Gornsdorf,1970
NI,032565402027,Rohrsen,1116
RP,073160000000,"Neustadt an der Weinstraße, Stadt",52778
HE,065310017017,"Staufenberg, Stadt",8197
RP,073365009010,Breitenbach,1791
SL,100450115115,Kirkel,10192
RP,071345005076,Schauren,497
BY,096775621178,Roden,1001
MV,130715162169,Zettemin,265
TH,160735012113,"Schwarzatal, Stadt",3445
NW,051700032032,"Rheinberg, Stadt",31210
BY,094790112112,"Arzberg, St",4932
BY,095725510143,"Mühlhausen, M",1746
SH,010575775052,Mucheln,579
RP,072355001093,Neuhütten (Landkreis Trier-Saarburg),709
SH,010585803171,Westensee,1558
BW,084265001036,Dürnau (Landkreis Biberach),465
RP,071355005032,Forst (Hunsrück),58
RP,073335007055,Oberndorf (Landkreis Donnersbergkreis),256
NI,032575403016,Hohnhorst,2141
BW,081165009035,Köngen,9560
BY,097790201201,"Rain, St",9022
NI,032515402017,Eydelstedt,1779
ST,150880365365,Teutschenthal,13109
BY,095760132132,"Schwanstetten, M",7276
SH,010575747084,Wahlstorf (Kreis Plön),439
BY,097725706136,Ellgau,1168
BB,120715101032,Burg (Spreewald),4177
